filename,width,height,class,xmin,ymin,xmax,ymax
five_1.jpg,640,480,5,32,294,332,480
five_2.jpg,640,480,5,135,338,321,480
five_3.jpg,640,480,5,91,259,331,480
five_4.jpg,640,480,5,112,327,306,480
five_5.jpg,640,480,5,100,266,331,480
five_6.jpg,640,480,5,20,204,257,480
five_7.jpg,640,480,5,48,223,224,480
five_8.jpg,640,480,5,132,304,367,480
five_9.jpg,640,480,5,40,192,301,480
five_10.jpg,640,480,5,0,64,302,480
five_11.jpg,640,480,5,147,378,329,480
five_12.jpg,640,480,5,122,340,320,480
five_13.jpg,640,480,5,112,287,350,480
five_14.jpg,640,480,5,146,378,326,480
five_15.jpg,640,480,5,106,304,336,480
five_16.jpg,640,480,5,87,281,320,480
five_17.jpg,640,480,5,173,389,393,480
five_18.jpg,640,480,5,48,217,263,480
five_19.jpg,640,480,5,110,272,361,480
five_20.jpg,640,480,5,102,274,337,480
five_21.jpg,640,480,5,81,224,304,480
five_22.jpg,640,480,5,41,262,327,480
five_23.jpg,640,480,5,103,298,352,480
five_24.jpg,640,480,5,115,324,397,480
five_25.jpg,640,480,5,0,100,338,480
five_26.jpg,640,480,5,132,293,332,480
five_27.jpg,640,480,5,104,308,377,480
five_28.jpg,640,480,5,0,142,405,480
five_29.jpg,640,480,5,125,263,377,480
five_30.jpg,640,480,5,96,270,345,480
five_31.jpg,640,480,5,128,280,377,480
five_32.jpg,640,480,5,147,338,390,480
five_33.jpg,640,480,5,80,208,296,480
five_34.jpg,640,480,5,48,230,226,480
five_35.jpg,640,480,5,132,346,352,480
five_36.jpg,640,480,5,83,240,327,480
five_37.jpg,640,480,5,128,332,302,480
five_38.jpg,640,480,5,92,268,322,480
five_39.jpg,640,480,5,78,240,283,480
five_40.jpg,640,480,5,48,276,378,480
five_41.jpg,640,480,5,122,301,336,480
five_42.jpg,640,480,5,116,259,377,480
five_43.jpg,640,480,5,134,318,368,480
five_44.jpg,640,480,5,0,96,341,480
five_45.jpg,640,480,5,88,253,337,480
five_46.jpg,640,480,5,124,285,363,480
five_47.jpg,640,480,5,121,293,372,480
five_48.jpg,640,480,5,232,16,529,480
five_49.jpg,640,480,5,190,179,448,480
five_50.jpg,640,480,5,182,175,448,480
five_51.jpg,640,480,5,250,0,512,480
five_52.jpg,640,480,5,211,152,501,480
five_53.jpg,640,480,5,216,169,518,480
five_54.jpg,640,480,5,150,276,433,480
five_55.jpg,640,480,5,251,82,547,480
five_56.jpg,640,480,5,152,314,420,480
five_57.jpg,640,480,5,76,260,275,480
five_58.jpg,640,480,5,198,215,449,480
five_59.jpg,640,480,5,187,61,544,480
five_60.jpg,640,480,5,153,256,435,480
five_61.jpg,640,480,5,240,135,531,480
five_62.jpg,640,480,5,212,146,521,480
five_63.jpg,640,480,5,239,213,461,480
five_64.jpg,640,480,5,240,192,501,480
five_65.jpg,640,480,5,223,187,461,480
five_66.jpg,640,480,5,218,193,454,480
five_67.jpg,640,480,5,112,259,480,480
five_68.jpg,640,480,5,121,306,330,480
five_69.jpg,640,480,5,157,98,544,480
five_70.jpg,640,480,5,172,66,540,480
five_71.jpg,640,480,5,165,200,433,480
five_72.jpg,640,480,5,175,234,426,480
five_73.jpg,640,480,5,250,240,452,480
five_74.jpg,640,480,5,144,213,484,480
five_75.jpg,640,480,5,169,181,491,480
five_76.jpg,640,480,5,314,173,528,480
five_77.jpg,640,480,5,208,256,448,480
five_78.jpg,640,480,5,148,233,448,480
five_79.jpg,640,480,5,132,320,382,480
five_80.jpg,640,480,5,164,312,416,480
five_81.jpg,640,480,5,254,222,500,480
five_82.jpg,640,480,5,210,246,485,480
five_83.jpg,640,480,5,213,240,446,480
five_84.jpg,640,480,5,128,278,483,480
five_85.jpg,640,480,5,288,192,502,480
five_86.jpg,640,480,5,233,326,449,480
five_87.jpg,640,480,5,201,157,528,480
five_88.jpg,640,480,5,246,0,512,480
five_89.jpg,640,480,5,157,320,418,480
five_90.jpg,640,480,5,96,256,292,480
five_91.jpg,640,480,5,245,193,473,480
five_92.jpg,640,480,5,224,199,448,480
five_93.jpg,640,480,5,224,282,446,480
five_94.jpg,640,480,5,182,281,437,480
five_95.jpg,640,480,5,208,224,436,480
five_96.jpg,640,480,5,176,260,494,480
five_97.jpg,640,480,5,256,151,504,480
five_98.jpg,640,480,5,225,224,518,480
five_99.jpg,640,480,5,164,332,436,480
five_100.jpg,640,480,5,234,246,450,480
five_101.jpg,640,480,5,48,242,231,480
five_102.jpg,640,480,5,257,128,526,480
five_103.jpg,640,480,5,204,208,445,480
five_104.jpg,640,480,5,317,185,527,480
five_105.jpg,640,480,5,288,147,544,480
five_106.jpg,640,480,5,191,204,439,480
five_107.jpg,640,480,5,192,324,436,480
five_108.jpg,640,480,5,240,208,456,480
five_109.jpg,640,480,5,176,216,512,480
five_110.jpg,640,480,5,205,336,443,480
five_111.jpg,640,480,5,165,277,436,480
five_112.jpg,640,480,5,48,240,262,480
five_113.jpg,640,480,5,187,346,442,480
five_114.jpg,640,480,5,172,265,416,480
five_115.jpg,640,480,5,165,331,435,480
five_116.jpg,640,480,5,274,201,476,480
five_117.jpg,640,480,5,275,167,502,480
five_118.jpg,640,480,5,228,17,526,480
five_119.jpg,640,480,5,157,235,433,480
five_120.jpg,640,480,5,158,236,433,480
five_121.jpg,640,480,5,217,284,449,480
five_122.jpg,640,480,5,320,115,548,480
five_123.jpg,640,480,5,125,326,343,480
five_124.jpg,640,480,5,166,312,422,480
five_125.jpg,640,480,5,137,236,508,480
five_126.jpg,640,480,5,256,159,528,480
five_127.jpg,640,480,5,267,128,544,480
five_128.jpg,640,480,5,236,224,454,480
five_129.jpg,640,480,5,234,188,467,480
five_130.jpg,640,480,5,200,286,437,480
five_131.jpg,640,480,5,156,180,504,480
five_132.jpg,640,480,5,265,187,526,480
five_133.jpg,640,480,5,175,261,418,480
five_134.jpg,640,480,5,44,195,258,480
five_135.jpg,640,480,5,152,210,438,480
five_136.jpg,640,480,5,256,0,524,480
five_137.jpg,640,480,5,211,38,531,480
five_138.jpg,640,480,5,171,83,540,480
five_139.jpg,640,480,5,237,189,466,480
five_140.jpg,640,480,5,318,136,544,480
five_141.jpg,640,480,5,247,126,531,480
five_142.jpg,640,480,5,199,288,449,480
five_143.jpg,640,480,5,254,171,535,480
five_144.jpg,640,480,5,179,273,416,480
five_145.jpg,640,480,5,22,185,241,480
five_146.jpg,640,480,5,262,182,473,480
five_147.jpg,640,480,5,192,248,432,480
five_148.jpg,640,480,5,213,164,458,480
five_149.jpg,640,480,5,296,128,544,480
five_150.jpg,640,480,5,185,200,489,480
five_151.jpg,640,480,5,207,147,502,480
five_152.jpg,640,480,5,204,189,451,480
five_153.jpg,640,480,5,180,298,416,480
five_154.jpg,640,480,5,150,274,433,480
five_155.jpg,640,480,5,286,144,528,480
five_156.jpg,640,480,5,141,384,336,480
five_157.jpg,640,480,5,0,167,401,480
five_158.jpg,640,480,5,184,32,540,480
five_159.jpg,640,480,5,0,42,255,480
five_160.jpg,640,480,5,0,70,285,480
five_161.jpg,640,480,5,130,342,301,480
five_162.jpg,640,480,5,147,392,368,480
five_163.jpg,640,480,5,119,336,325,480
five_164.jpg,640,480,5,34,244,295,480
five_165.jpg,640,480,5,40,260,354,480
five_166.jpg,640,480,5,105,294,337,480
five_167.jpg,640,480,5,41,197,332,480
five_168.jpg,640,480,5,106,258,346,480
five_169.jpg,640,480,5,0,75,341,480
five_170.jpg,640,480,5,0,120,365,480
five_171.jpg,640,480,5,103,296,318,480
five_172.jpg,640,480,5,136,319,376,480
five_173.jpg,640,480,5,151,335,368,480
five_174.jpg,640,480,5,101,243,337,480
five_175.jpg,640,480,5,138,317,360,480
five_176.jpg,640,480,5,75,244,307,480
five_177.jpg,640,480,5,96,267,352,480
five_178.jpg,640,480,5,84,272,341,480
five_179.jpg,640,480,5,19,215,245,480
five_180.jpg,640,480,5,0,94,349,480
five_181.jpg,640,480,5,104,271,343,480
five_182.jpg,640,480,5,96,259,306,480
five_183.jpg,640,480,5,75,232,249,480
five_184.jpg,640,480,5,100,278,325,480
five_185.jpg,640,480,5,41,261,358,480
five_186.jpg,640,480,5,0,0,308,480
five_187.jpg,640,480,5,122,302,364,480
five_188.jpg,640,480,5,0,91,312,480
five_189.jpg,640,480,5,166,368,353,480
five_190.jpg,640,480,5,41,216,311,480
five_191.jpg,640,480,5,0,114,360,480
five_192.jpg,640,480,5,105,256,326,480
five_193.jpg,640,480,5,158,371,337,480
five_194.jpg,640,480,5,142,355,384,480
five_195.jpg,640,480,5,76,256,296,480
five_196.jpg,640,480,5,82,246,316,480
five_197.jpg,640,480,5,141,334,345,480
five_198.jpg,640,480,5,0,113,331,480
five_199.jpg,640,480,5,92,219,318,480
five_200.jpg,640,480,5,128,316,355,480
four_201.jpg,640,480,4,118,286,315,480
four_202.jpg,640,480,4,114,252,304,480
four_203.jpg,640,480,4,0,187,336,480
four_204.jpg,640,480,4,130,304,321,480
four_205.jpg,640,480,4,101,240,251,480
four_206.jpg,640,480,4,103,240,288,480
four_207.jpg,640,480,4,132,295,368,480
four_208.jpg,640,480,4,140,348,385,480
four_209.jpg,640,480,4,144,320,400,480
four_210.jpg,640,480,4,91,215,354,480
four_211.jpg,640,480,4,0,163,340,480
four_212.jpg,640,480,4,0,137,316,480
four_213.jpg,640,480,4,141,344,376,480
four_214.jpg,640,480,4,0,190,368,480
four_215.jpg,640,480,4,107,256,288,480
four_216.jpg,640,480,4,117,323,320,480
four_217.jpg,640,480,4,112,258,304,480
four_218.jpg,640,480,4,131,295,327,480
four_219.jpg,640,480,4,133,336,368,480
four_220.jpg,640,480,4,123,288,295,480
four_221.jpg,640,480,4,143,304,368,480
four_222.jpg,640,480,4,114,280,318,480
four_223.jpg,640,480,4,89,193,278,480
four_224.jpg,640,480,4,105,248,272,480
four_225.jpg,640,480,4,124,288,336,480
four_226.jpg,640,480,4,150,357,400,480
four_227.jpg,640,480,4,112,257,304,480
four_228.jpg,640,480,4,96,220,280,480
four_229.jpg,640,480,4,16,170,258,480
four_230.jpg,640,480,4,99,224,272,480
four_231.jpg,640,480,4,102,220,288,480
four_232.jpg,640,480,4,143,328,381,480
four_233.jpg,640,480,4,105,278,256,480
four_234.jpg,640,480,4,140,298,372,480
four_235.jpg,640,480,4,28,256,264,480
four_236.jpg,640,480,4,114,304,320,480
four_237.jpg,640,480,4,128,240,324,480
four_238.jpg,640,480,4,57,247,328,480
four_239.jpg,640,480,4,112,286,289,480
four_240.jpg,640,480,4,0,125,273,480
four_241.jpg,640,480,4,128,240,333,480
four_242.jpg,640,480,4,112,253,267,480
four_243.jpg,640,480,4,113,293,320,480
four_244.jpg,640,480,4,14,256,232,480
four_245.jpg,640,480,4,0,149,299,480
four_246.jpg,640,480,4,113,238,310,480
four_247.jpg,640,480,4,87,197,274,480
four_248.jpg,640,480,4,110,232,338,480
four_249.jpg,640,480,4,123,236,320,480
four_250.jpg,640,480,4,125,246,318,480
four_251.jpg,640,480,4,48,248,297,480
four_252.jpg,640,480,4,0,123,369,480
four_253.jpg,640,480,4,125,298,306,480
four_254.jpg,640,480,4,115,319,314,480
four_255.jpg,640,480,4,112,248,322,480
four_256.jpg,640,480,4,128,270,349,480
four_257.jpg,640,480,4,75,194,259,480
four_258.jpg,640,480,4,96,298,352,480
four_259.jpg,640,480,4,111,264,356,480
four_260.jpg,640,480,4,96,227,272,480
four_261.jpg,640,480,4,123,330,326,480
four_262.jpg,640,480,4,123,258,358,480
